"CATEGORY","SEVERITY","CVSS_BASE","OWASP","CWE","TITLE","GROUP","AUTHENTICATION","URL","DESCRIPTION","IMPACT","SOLUTION","QID"
"Confirmed Vulnerability","2","none","Sensitive Data Exposure","CWE-1004","Cookie Does Not Contain The ""HTTPOnly"" Attribute","Information Disclosure","Not Required","https://b2b.rusklimat.com/catalog/product/","The cookie does not contain the ""HTTPOnly"" attribute.","Cookies without the ""HTTPOnly"" attribute are permitted to be accessed via JavaScript. Cross-site scripting attacks can steal cookies which could lead to user impersonation or compromise of the application account.","If the associated risk of a compromised account is high, apply the ""HTTPOnly"" attribute to cookies.","150123"
"Information Gathered","1","none","none","none","Links With High Resource Consumption","Security Weaknesses","none","none","The list of links with lowest bytes/sec which are assumed to be resources with  highest resource consumption.  The links in the list have slower transfer times speeds to an average resource on the server.  This may indicate that the links are more CPU or DB intensive than majority of links.<P>
The latency of the network and file size have no effect on calculations.
","The links with high resource consumption could be used to perform DOS on the server  by just performing GET Flooding. Attackers could more easily take the server down if there are huge resource hogs on it, performing less request.
","Find the root cause of resources slow download speed.<P>
If the cause is a real CPU strain or complex DB queries performed, there may be a need for re-engineering of the web application or defense measures should be in place.  Examples of defense against DOS that is targeted towards high resource consumption links are Load Balancers and Rate Limiters.","150126"
"Information Gathered","1","none","none","none","AJAX Links Crawled","Scan Diagnostics","none","none","The list of unique AJAX links crawled by the scanner appears in the Results section. The link may be either a URL with fragment (#) or a Selenium script. To open a URL with fragment, open it in browser. To open a Selenium script, use Qualys Browser Recorder Chrome extension. The number of AJAX links reported is limited to 1000.","N/A","N/A","150148"
"Information Gathered","1","none","none","none","Forms Crawled","Scan Diagnostics","none","none","Results section consists of the unique forms submitted by the Web Application Scanner. Reported list of forms in this QID does not contain authentication forms (i.e. login forms) which are reported separately in QID 150115. There is redundancy checks done on forms based on form fields. Forms determined to be similar will be considered redundant and not tested. 
<P>NOTE: The regular expression specified under 'Redundant Links' are not applied to forms. Forms (unique or redundant) are not reported under QID 150140.","N/A","N/A","150152"
"Confirmed Vulnerability","3","5.5","Sensitive Data Exposure","CWE-614","Session Cookie Does Not Contain the ""Secure"" Attribute","Information Disclosure","Not Required","https://b2b.rusklimat.com/catalog/product/","The session cookie does not contain the ""secure"" attribute","Session Cookies with ""secure"" attribute are only permitted to be sent via HTTPS. Session cookies sent via HTTP expose users to sniffing attacks that could lead to user impersonation or account compromise","Apply the ""secure"" attribute to session cookies to ensure that they will be sent via HTTPS only.","150161"
"Confirmed Vulnerability","3","6.4","Using Components with Known Vulnerabilities","CWE-937","Use of JavaScript Library with Known Vulnerability","Information Disclosure","Not Required","https://b2b.rusklimat.com/catalog/product/","The web application is using a JavaScript library that is known to contain at least one vulnerability.","Attackers could potentially exploit the vulnerability in the JavaScript library. The impact of a successful exploit depends on the nature of the vulnerability and how the web application makes use of the library.","Please refer to the information provided in the response section.  Also check the vendor's security advisories related to the vulnerable version of the library.","150162"
"Information Gathered","1","none","none","none","JavaScript Libraries Detected","Scan Diagnostics","none","none","The JavaScript libraries discovered by the scanner are provided in the Results section. The discovered libraries are reported only once based on the page on which they were first detected.<P>

Each library is reported along with other information such as the URL of page on which it was first found, the version, and the URL of the .js file.","N/A","N/A","150176"
"Information Gathered","2","none","Security Misconfiguration","none","Missing header: X-Content-Type-Options","Security Weaknesses","none","none","The X-Content-Type-Options response header is not present. WAS reports missing X-Content-Type-Options header on each crawled link for both static and dynamic responses. The scanner performs the check not only on 200 responses but 4xx and 5xx responses as well. It's also possible the QID will be reported on directory-level links.","All web browsers employ a content-sniffing algorithm that inspects the contents of HTTP responses and also occasionally overrides the MIME type provided by the server. If X-Content-Type-Options header is not present, browsers can potentially be tricked into treating non-HTML response as HTML. An attacker can then potentially leverage the functionality to perform a cross-site scripting (XSS) attack. This specific case is known as a Content-Sniffing XSS (CS-XSS) attack.



","It is recommended to disable browser content sniffing by adding the X-Content-Type-Options header to the HTTP response with a value of 'nosniff'. Also, ensure that the 'Content-Type' header is set correctly on responses.
","150202"
"Information Gathered","1","none","Security Misconfiguration","none","Missing header: X-XSS-Protection","Security Weaknesses","none","none","The X-XSS-Protection response header is not present.
","The X-XSS-Protection response header provides a layer of protection against reflected cross-site scripting (XSS) attacks by instructing browsers to abort rendering a page in which a reflected XSS attack has been detected. This is a best-effort second line of defense measure which helps prevent an attacker from using evasion techniques to avoid the neutralization mechanisms that the filters use by default. When configured appropriately, browser-level XSS filters can provide additional layers of defense against web application attacks.
<P>
Note that HTTP 4xx and 5xx responses can also be susceptible to attacks such as XSS. For better security the X-XSS-Protection header should be set on 4xx and 5xx responses as well.","It is recommend to set X-XSS-Protection header with value set to '1; mode=block' on all the relevant responses to activate browser's XSS filter.

<P><B>NOTE:</B> The X-XSS-Protection header is not supported by all browsers. Google Chrome and Safari are some of the browsers which support it, Firefox on the other hand does not support the header. X-XSS-Protection header does not guarantee a complete protection against XSS. For better protection against XSS attacks, the web application should use secure coding principles. Also, consider leveraging the Content-Security-Policy (CSP) header, which is supported by all browsers.

<P>Using X-XSS-Protection could have unintended side effects, please understand the implications carefully before using it.

<P>References:<BR>
- <A HREF=""https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-XSS-Protection"" TARGET=""_blank"">https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-XSS-Protection</A><BR>
- <A HREF=""https://blog.innerht.ml/the-misunderstood-x-xss-protection/"" TARGET=""_blank"">https://blog.innerht.ml/the-misunderstood-x-xss-protection/</A><BR>
- <A HREF=""https://www.mbsd.jp/blog/20160407.html"" TARGET=""_blank"">https://www.mbsd.jp/blog/20160407.html</A><BR>
- <A HREF=""https://www.chromium.org/developers/design-documents/xss-auditor"" TARGET=""_blank"">https://www.chromium.org/developers/design-documents/xss-auditor</A>","150204"
"Information Gathered","2","none","Security Misconfiguration","none","Content-Security-Policy Not Implemented","Security Weaknesses","none","none","No Content-Security-Policy (CSP) is specified for the page. WAS checks for the missing CSP on all static and dynamic pages. It checks for CSP in the response headers (Content-Security-Policy, X-Content-Security-Policy or X-Webkit-CSP) and in response body (http-equiv=""Content-Security-Policy"" meta tag).<P>

HTTP 4xx and 5xx responses can also be susceptible to attacks such as XSS. For better security it's important to set appropriate CSP policies on 4xx and 5xx responses as well.
","Content-Security Policy is a defense mechanism that can significantly reduce the risk and impact of XSS attacks in modern browsers. The CSP specification provides a set of content restrictions for web resources and a mechanism for transmitting the policy from a server to a client where the policy is enforced. When a Content Security Policy is specified, a number of default behaviors in user agents are changed; specifically inline content and JavaScript eval constructs are not interpreted without additional directives. In short, CSP allows you to create a whitelist of sources of the trusted content. The CSP policy instructs the browser to only render resources from those whitelisted sources. Even though an attacker can find a security vulnerability in the application through which to inject script, the script won't match the whitelisted sources defined in the CSP policy, and therefore will not be executed.<P>

The absence of Content Security Policy in the response will allow the attacker to exploit vulnerabilities as the protection provided by the browser is not at all leveraged by the Web application. If secure CSP configuration is not implemented, browsers will not be able to block content-injection attacks such as Cross-Site Scripting and Clickjacking.

","Appropriate CSP policies help prevent content-injection attacks such as cross-site scripting (XSS) and clickjacking. It's recommended to add secure CSP policies as a part of a defense-in-depth approach for securing web applications.<P>

References:<BR>
- <A HREF=""https://cheatsheetseries.owasp.org/cheatsheets/Content_Security_Policy_Cheat_Sheet.html"" TARGET=""_blank"">https://cheatsheetseries.owasp.org/cheatsheets/Content_Security_Policy_Cheat_Sheet.html</A><BR>
- <A HREF=""https://developers.google.com/web/fundamentals/security/csp/"" TARGET=""_blank"">https://developers.google.com/web/fundamentals/security/csp/</A>



","150206"
"Information Gathered","2","none","Security Misconfiguration","none","Missing header: Referrer-Policy","Security Weaknesses","none","none","No Referrer Policy is specified for the link. WAS checks for the missing Referrer Policy on all static and dynamic pages. It checks for one of the following Referrer Policy in the response headers:<P>
1) no-referrer<BR>
2) no-referrer-when-downgrade<BR>
3) same-origin<BR>
4) origin<BR>
5) origin-when-cross-origin<BR>
6) strict-origin<BR>
7) strict-origin-when-cross-origin<BR>
<P>
If the Referrer Policy header is not found , WAS checks in response body for meta tag containing tag name as ""referrer"" and one of the above Referrer Policy.","The Referrer-Policy header controls how much referrer information is sent to a site when navigating to it. Absence of Referrer-Policy header can lead to leakage of sensitive information via the referrer header.
","Referrer Policy header improves security by ensuring websites don't leak sensitive information via the referrer header. It's recommended to add secure Referrer Policies as a part of a defense-in-depth approach.<P>

References:<BR>
- <A HREF=""https://www.w3.org/TR/referrer-policy/"" TARGET=""_blank"">https://www.w3.org/TR/referrer-policy/</A><BR>
- <A HREF=""https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Referrer-Policy"" TARGET=""_blank"">https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Referrer-Policy</A>
","150208"
"Information Gathered","3","none","Security Misconfiguration","none","Information Disclosure via Response Header","Security Weaknesses","none","none","HTTP response headers like 'Server', 'X-Powered-By', 'X-AspNetVersion', 'X-AspNetMvcVersion' could disclose information about the platform and technologies used by the website. The HTTP response include one or more such headers.","The headers can potentially be used by attackers for fingerprinting and launching attacks specific to the technologies and versions used by the web application. These response headers are not necessary for production sites and should be disabled.","Disable such response headers, remove them from the response, or make sure that the header value does not contain information which could be used to fingerprint the server-side components of the web application.

","150210"
"Information Gathered","2","none","Security Misconfiguration","none","Missing header: Feature-Policy","Security Weaknesses","none","none","The Feature-Policy response header is not present. ","Feature Policy allows web developers to selectively enable, disable, and modify the behavior of certain APIs and web features such as ""geolocation"",""camera"", ""usb"", ""fullscreen"", ""animations"" etc in the browser.
<P> 
These policies restrict what APIs the site can access or modify the browser's default behavior for certain features.","It is recommended to set the Feature-Policy header to selectively enable, disable, and modify the behavior of certain APIs and web features.<P>

References:<BR>
- <A HREF=""https://www.w3.org/TR/feature-policy/"" TARGET=""_blank"">https://www.w3.org/TR/feature-policy/</A><BR>
- <A HREF=""https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Feature-Policy"" TARGET=""_blank"">https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Feature-Policy</A>","150262"
